 pp_0058  6421084.849735218 1913404.4334679828 9  8.85250598235875628579105711679630986e-04 
 pp_0059  6393456.5058011785 1897874.6359334872 9  9.7447996926092715370276708952701483e-04 
 pp_0060  6396678.272788262 1899242.1948831996 9  1.03878381242008491908146439186566568e-03 
 pp_0061  6399900.0397753455 1900609.753832912 9  1.05824727355326771854882039747280942e-03 
 pp_0062  6403121.806762429 1901977.3127826245 5  1.17663732994753599848947178685421022e-03 
 pp_0063  6406343.573749512 1903344.871732337 5  9.63781922836435558064882567208542241e-04 
 pp_0064  6409565.340736596 1904712.4306820494 5  9.68881766654510921329968020643264026e-04 
 pp_0065  6412787.107723679 1906079.9896317618 5  1.13535303284798320087867207206500098e-03 
 pp_0066  6416008.874710763 1907447.5485814742 9  1.09620350713942270835798975525676724e-03 
 pp_0067  6419230.641697847 1908815.1075311867 9  1.01627154685313223630993562096591631e-03 
 pp_0068  6422452.408684931 1910182.6664808993 9  1.06513924763009231594379500052127696e-03 
 pp_0069  6394824.06475089 1894652.8689464037 9  1.0663596292844735018839896767417486e-03 
 pp_0070  6398045.831737974 1896020.4278961162 9  9.67229478944492361211504594109555910e-04 
 pp_0071  6401267.598725057 1897387.9868458286 9  7.47670580369650858952590422035200390e-04 
 pp_0072  6404489.365712141 1898755.545795541 5  1.21962992115638019230416944083117414e-03 
 pp_0073  6407711.132699224 1900123.1047452535 5  1.05483417537040042970264419608383832e-03 
 pp_0074  6410932.899686308 1901490.663694966 5  8.56487052884853032434786523907632727e-04 
 pp_0075  6414154.666673391 1902858.2226446783 5  1.23777178942117071711037645798114681e-03 
 pp_0076  6417376.433660475 1904225.7815943907 9  1.01512920251696850404421468283544527e-03 
 pp_0077  6420598.200647559 1905593.3405441032 9  1.21203953007116755659355877838834203e-03 
 pp_0078  6423819.9676346425 1906960.8994938158 9  9.60711791249625442559723076385580498e-04 
 pp_0079  6427041.734621726 1908328.4584435283 9  1.06182546302144450132975972422855193e-03 
 pp_0080  6396191.623700603 1891431.1019593203 9  9.0049527672019424786448160702434507e-04 
 pp_0081  6399413.390687686 1892798.6609090327 9  9.24759863279692780752005987210395688e-04 
 pp_0082  6402635.15767477 1894166.219858745 9  6.92868131330259730965570597049918433e-04 
 pp_0083  6405856.924661853 1895533.7788084575 6  1.07988756190510086854783544652036653e-03 
 pp_0084  6409078.691648937 1896901.33775817 5  1.02413524003707964195319934930239469e-03 
 pp_0085  6412300.45863602 1898268.8967078824 5  8.54729822425518890281759265548089388e-04 
