 "GAGE No.  810:  K,I,J Coord. =     1,  100,   38;  STREAM SEGMENT =    20;  REACH =     1 "
     "DATA: Time           Stage            Flow     Conductance        HeadDiff       Hyd.Grad."
     3.8650000E+03   1.1553555E+02   9.9307099E+03   8.9451760E+02   2.0228186E+00   1.0114093E+00
     3.8960000E+03   1.1560377E+02   1.0756457E+05   8.9451760E+02   2.0910477E+00   1.0455239E+00
     3.9270000E+03   1.1560316E+02   1.0633744E+05   8.9451760E+02   2.0904324E+00   1.0452162E+00
     3.9570000E+03   1.1558375E+02   7.0763403E+04   8.9451760E+02   2.0710230E+00   1.0355115E+00
     3.9880000E+03   1.1551998E+02   7.1226547E+02   8.9451760E+02   2.0072554E+00   1.0036277E+00
     4.0180000E+03   1.1556726E+02   4.5285006E+04   8.9451760E+02   2.0545367E+00   1.0272683E+00
     4.0490000E+03   1.1781185E+02   2.3608427E+07   8.9451760E+02   4.2991270E+00   2.1495635E+00
     4.0800000E+03   1.1836809E+02   3.3906074E+07   8.9451760E+02   4.8553675E+00   2.4276837E+00
     4.1080000E+03   1.1643286E+02   5.1296725E+06   8.9451760E+02   2.9201324E+00   1.4600662E+00
     4.1390000E+03   1.1602940E+02   1.9670357E+06   8.9451760E+02   2.5166703E+00   1.2583352E+00
     4.1690000E+03   1.1553872E+02   1.2543703E+04   8.9451760E+02   2.0259922E+00   1.0129961E+00
     4.2000000E+03   1.1553473E+02   9.3147638E+03   8.9451760E+02   2.0220007E+00   1.0110004E+00
     4.2300000E+03   1.1553890E+02   1.2712806E+04   8.9451760E+02   2.0261772E+00   1.0130886E+00
     4.2610000E+03   1.1560304E+02   1.0610433E+05   8.9451760E+02   2.0903090E+00   1.0451545E+00
     4.2920000E+03   1.1560438E+02   1.0876002E+05   8.9451760E+02   2.0916524E+00   1.0458262E+00
     4.3220000E+03   1.1557699E+02   5.9762177E+04   8.9451760E+02   2.0642646E+00   1.0321323E+00
     4.3530000E+03   1.1572474E+02   4.4300655E+05   8.9451760E+02   2.2120102E+00   1.1060051E+00
     4.3830000E+03   1.1850554E+02   3.6666915E+07   8.9451760E+02   4.9928130E+00   2.4964065E+00
     4.4140000E+03   1.1909285E+02   4.9447482E+07   8.9451760E+02   5.5801231E+00   2.7900615E+00
     4.4450000E+03   1.1854688E+02   3.7552705E+07   8.9451760E+02   5.0341518E+00   2.5170759E+00
     4.4730000E+03   1.1776318E+02   2.2812717E+07   8.9451760E+02   3.4638207E+00   1.7319104E+00
     4.5040000E+03   1.1766296E+02   2.1148836E+07   8.9451760E+02   2.3160984E+00   1.1580492E+00
     4.5340000E+03   1.1708588E+02   1.2550736E+07   8.9451760E+02   1.4010931E+00   7.0054654E-01
     4.5650000E+03   1.1556216E+02   3.8322221E+04   8.9451760E+02   2.0494367E+00   1.0247183E+00
     4.5950000E+03   1.1554174E+02   1.5241553E+04   8.9451760E+02   2.0290083E+00   1.0145041E+00
     4.6260000E+03   1.1560440E+02   1.0881151E+05   8.9451760E+02   2.0916743E+00   1.0458371E+00
     4.6570000E+03   1.1560573E+02   1.1145720E+05   8.9451760E+02   2.0929994E+00   1.0464997E+00
     4.6870000E+03   1.1556394E+02   4.0652561E+04   8.9451760E+02   2.0512120E+00   1.0256060E+00
     4.7180000E+03   1.1579081E+02   6.9708517E+05   8.9451760E+02   2.2780866E+00   1.1390433E+00
     4.7480000E+03   1.1833629E+02   3.3288572E+07   8.9451760E+02   4.8235657E+00   2.4117828E+00
     4.7790000E+03   1.1752088E+02   1.8854792E+07   8.9451760E+02   4.0081492E+00   2.0040746E+00
     4.8100000E+03   1.1892893E+02   4.5731586E+07   8.9451760E+02   2.9473851E+00   1.4736925E+00
     4.8380000E+03   1.1946268E+02   5.8274529E+07   8.9451760E+02   1.8972389E+00   9.4861947E-01
     4.8690000E+03   1.1945548E+02   5.8071096E+07   8.9451760E+02   1.0639809E+00   5.3199045E-01
     4.8990000E+03   1.1660342E+02   6.8168737E+06   8.9451760E+02  -7.4967524E-02  -3.7483762E-02
     4.9300000E+03   1.1556054E+02   3.6195167E+04   8.9451760E+02   2.0478164E+00   1.0239082E+00
     4.9600000E+03   1.1555034E+02   2.3974199E+04   8.9451760E+02   2.0376170E+00   1.0188085E+00
     4.9910000E+03   1.1560671E+02   1.1345280E+05   8.9451760E+02   2.0939825E+00   1.0469913E+00
     5.0220000E+03   1.1559890E+02   9.8056049E+04   8.9451760E+02   2.0861768E+00   1.0430884E+00
     5.0520000E+03   1.1557833E+02   6.1883122E+04   8.9451760E+02   2.0656066E+00   1.0328033E+00
     5.0830000E+03   1.1553248E+02   7.6058725E+03   8.9451760E+02   2.0197551E+00   1.0098776E+00
     5.1130000E+03   1.1908204E+02   4.9181336E+07   8.9451760E+02   5.5693110E+00   2.7846555E+00
     5.1440000E+03   1.1938532E+02   5.6357621E+07   8.9451760E+02   4.0450064E+00   2.0225032E+00
     5.1750000E+03   1.1561378E+02   1.2812267E+05   8.9451760E+02   2.1010500E+00   1.0505250E+00
     5.2040000E+03   1.1631992E+02   4.1280765E+06   8.9451760E+02   2.8071952E+00   1.4035976E+00
     5.2350000E+03   1.1561042E+02   1.2100902E+05   8.9451760E+02   2.0976952E+00   1.0488476E+00
     5.2650000E+03   1.1557640E+02   5.8887073E+04   8.9451760E+02   2.0636762E+00   1.0318381E+00
     5.2960000E+03   1.1554265E+02   1.6117612E+04   8.9451760E+02   2.0299187E+00   1.0149593E+00
     5.3260000E+03   1.1553144E+02   6.8906645E+03   8.9451760E+02   2.0187159E+00   1.0093580E+00
     5.3570000E+03   1.1560585E+02   1.1171626E+05   8.9451760E+02   2.0931223E+00   1.0465612E+00
     5.3880000E+03   1.1560147E+02   1.0301852E+05   8.9451760E+02   2.0887429E+00   1.0443715E+00
     5.4180000E+03   1.1558539E+02   7.3545800E+04   8.9451760E+02   2.0726649E+00   1.0363324E+00
     5.4490000E+03   1.1563961E+02   1.8778999E+05   8.9451760E+02   2.1268877E+00   1.0634439E+00
