         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT      RURWELLS_IN     RURWELLS_OUT      MNIWELLS_IN     MNIWELLS_OUT           GHB_IN          GHB_OUT           RCH_IN          RCH_OUT           DRT_IN          DRT_OUT           SFR_IN          SFR_OUT          MNW2_IN         MNW2_OUT     FMP_WELLS_IN    FMP_WELLS_OUT       FMP_FNR_IN      FMP_FNR_OUT         IN_OUT  PERCENT_ERROR
1972-11-01T00:00:00    36     1           30.0         1096.0     266875.99073     7.1851369E+6              0.0              0.0              0.0        47799.876              0.0      63251.50680       5334.91430              0.0      30088.06470              0.0              0.0     198719.48713     3.5472106E+6      94164.96713    1.8161107E-10    1.6487856E-10              0.0              0.0     4.4411045E+6     703790.51594     2249.16070      0.0271253
1972-12-01T00:00:00    37     1           31.0         1127.0     192603.08637     5.2593771E+6              0.0              0.0              0.0        38780.432              0.0      63251.50680       5312.29396              0.0      30088.06470              0.0              0.0     256101.92129     1.9813350E+6     165270.95105    1.6637039E-10    6.3965815E-11              0.0              0.0     4.4411045E+6     868401.11541      740.09733      0.0111279
1973-01-01T00:00:00    38     1           31.0         1158.0     144463.40314     4.6660430E+6              0.0              0.0              0.0        39839.504              0.0      63251.50680       5240.79690              0.0      31026.88537              0.0              0.0     1.0977779E+6     2.5362502E+6     200604.11012    9.8722384E-11    1.3129320E-10              0.0              0.0     4.4411045E+6     1.0912488E+6      679.02327      0.0094857
1973-02-01T00:00:00    39     1           28.0         1186.0     140353.12392     3.6919165E+6              0.0              0.0              0.0        44107.925              0.0      63251.50680       5147.83833              0.0      31026.88537              0.0              0.0     695990.66761     1.6089955E+6     277323.34134    9.2781635E-11    9.7658593E-11              0.0              0.0     4.4411045E+6     1.4549153E+6      877.53478      0.0140923
1973-03-01T00:00:00    40     1           31.0         1217.0     1.8596802E+6     540045.82100              0.0              0.0              0.0        39839.504              0.0      63251.50680       5125.63680              0.0      31026.88537              0.0              0.0      22011.48977     843621.45380     236344.49462    6.7410782E-11    7.9509136E-11              0.0     2.0427445E+6     713421.31267     511506.03657     2867.90258      0.0830239
1973-04-01T00:00:00    41     1           30.0         1247.0     3.6547774E+6     129067.25936              0.0              0.0              0.0        49105.264              0.0      63251.50680       5192.35792              0.0      31026.88537              0.0              0.0        734.34177     968300.94255     136799.49239    1.0780700E-10    1.3392368E-10              0.0     4.5781589E+6     533460.42273     235667.72073     26.4339815   5.0905345E-4
1973-05-01T00:00:00    42     1           31.0         1278.0     4.2453185E+6      30980.66094              0.0              0.0              0.0        66876.176              0.0      63251.50680       5334.13343              0.0      31026.88537              0.0              0.0        242.67183     1.0585518E+6      98392.58228    2.2714779E-10    9.8245948E-11              0.0     5.4498829E+6     577422.58272     210579.08923     2551.72552      0.0431113
1973-06-01T00:00:00    43     1           30.0         1308.0     2.4299676E+6     513114.71851              0.0              0.0              0.0        87004.265              0.0      63251.50680       5477.53813              0.0      31026.88537              0.0              0.0       89.2519063     335552.67482      76414.60321    1.0545761E-10    1.3851718E-10              0.0     2.1683066E+6     288604.31595     182917.32102      469.21094      0.0151806
1973-07-01T00:00:00    44     1           31.0         1339.0     3.5584094E+6      70766.75249              0.0              0.0              0.0        95644.843              0.0      63251.50680       5632.02969              0.0      31026.88537              0.0              0.0              0.0     657586.94521      63982.32497    1.5297556E-10    2.2872696E-10              0.0     4.1825296E+6     394435.38537     171050.20231      134.56836      0.0028957
1973-08-01T00:00:00    45     1           31.0         1370.0     3.3414456E+6      33064.44622              0.0              0.0              0.0        96096.906              0.0      63251.50680       5796.43070              0.0      31026.88537              0.0              0.0              0.0     599471.86671      62455.20318    1.9988374E-10    1.9936125E-10              0.0     4.0325928E+6     466921.63331     157394.35824      192.80577      0.0043378
