parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,i,j,zone,x,y
drn_k_i:150_j:24_zone:7,log,factor,1079.15,10.0,10000.0,drn_k,1.0,0.0,1,150,24,7,6423635.191008115,1853650.8079763716
drn_k_i:150_j:31_zone:7,log,factor,1314.6,10.0,10000.0,drn_k,1.0,0.0,1,150,31,7,6426856.957995199,1855018.366926084
drn_k_i:150_j:38_zone:3,log,factor,825.595,10.0,10000.0,drn_k,1.0,0.0,1,150,38,3,6430078.724982282,1856385.925875796
drn_k_i:150_j:3_zone:9,log,factor,1114.61,10.0,10000.0,drn_k,1.0,0.0,1,150,3,9,6413969.890046865,1849548.131127234
drn_k_i:150_j:45_zone:3,log,factor,1468.86,10.0,10000.0,drn_k,1.0,0.0,1,150,45,3,6433300.491969366,1857753.484825509
drn_k_i:150_j:52_zone:2,log,factor,1120.18,10.0,10000.0,drn_k,1.0,0.0,1,150,52,2,6436522.258956449,1859121.043775221
drn_k_i:150_j:59_zone:2,log,factor,1047.84,10.0,10000.0,drn_k,1.0,0.0,1,150,59,2,6439744.0259435335,1860488.6027249333
drn_k_i:150_j:66_zone:2,log,factor,998.451,10.0,10000.0,drn_k,1.0,0.0,1,150,66,2,6442965.792930617,1861856.1616746464
drn_k_i:150_j:73_zone:9,log,factor,1190.39,10.0,10000.0,drn_k,1.0,0.0,1,150,73,9,6446187.5599177005,1863223.7206243584
drn_k_i:157_j:10_zone:9,log,factor,1363.66,10.0,10000.0,drn_k,1.0,0.0,1,157,10,9,6418559.215983661,1847693.923089863
drn_k_i:157_j:17_zone:9,log,factor,967.919,10.0,10000.0,drn_k,1.0,0.0,1,157,17,9,6421780.982970744,1849061.4820395757
drn_k_i:157_j:24_zone:7,log,factor,899.069,10.0,10000.0,drn_k,1.0,0.0,1,157,24,7,6425002.749957828,1850429.040989288
drn_k_i:157_j:31_zone:7,log,factor,1365.71,10.0,10000.0,drn_k,1.0,0.0,1,157,31,7,6428224.516944911,1851796.5999390003
drn_k_i:157_j:38_zone:3,log,factor,1317.21,10.0,10000.0,drn_k,1.0,0.0,1,157,38,3,6431446.283931995,1853164.1588887128
drn_k_i:157_j:3_zone:9,log,factor,974.32,10.0,10000.0,drn_k,1.0,0.0,1,157,3,9,6415337.448996577,1846326.3641401504
drn_k_i:157_j:45_zone:3,log,factor,1340.21,10.0,10000.0,drn_k,1.0,0.0,1,157,45,3,6434668.050919078,1854531.7178384247
