 "GAGE No.  810:  K,I,J Coord. =     1,  100,   38;  STREAM SEGMENT =    20;  REACH =     1 "
     "DATA: Time           Stage            Flow     Conductance        HeadDiff       Hyd.Grad."
     6.9710000E+03   1.1695970E+02   1.0928019E+07   1.2809371E+02   3.4469751E+00   1.7234875E+00
     7.0020000E+03   1.1608595E+02   2.3359698E+06   1.2809371E+02   2.5732198E+00   1.2866099E+00
     7.0300000E+03   1.1599666E+02   1.7632854E+06   1.2809371E+02   2.4839376E+00   1.2419688E+00
     7.0610000E+03   1.1808015E+02   2.8417119E+07   1.2809371E+02   4.5674204E+00   2.2837102E+00
     7.0910000E+03   1.1596099E+02   1.5509841E+06   1.2809371E+02   2.4482632E+00   1.2241316E+00
     7.1220000E+03   1.1566338E+02   2.5157474E+05   1.2809371E+02   2.1506492E+00   1.0753246E+00
     7.1520000E+03   1.1570004E+02   3.6178637E+05   1.2809371E+02   2.1873087E+00   1.0936544E+00
     7.1830000E+03   1.1560624E+02   1.1330739E+05   1.2809371E+02   2.0935094E+00   1.0467547E+00
     7.2140000E+03   1.1561659E+02   1.3502559E+05   1.2809371E+02   2.1038583E+00   1.0519292E+00
     7.2440000E+03   1.1615429E+02   2.8201174E+06   1.2809371E+02   2.6415613E+00   1.3207806E+00
     7.2750000E+03   1.1647880E+02   5.5757736E+06   1.2809371E+02   2.9660689E+00   1.4830345E+00
     7.3050000E+03   1.1617441E+02   2.9686813E+06   1.2809371E+02   2.6616851E+00   1.3308425E+00
     7.3360000E+03   1.1561264E+02   1.2646387E+05   1.2809371E+02   2.0999092E+00   1.0499546E+00
     7.3670000E+03   1.1758721E+02   1.9918718E+07   1.2809371E+02   4.0744874E+00   2.0372437E+00
     7.3950000E+03   1.1680627E+02   9.0659598E+06   1.2809371E+02   3.2935411E+00   1.6467705E+00
     7.4260000E+03   1.1605208E+02   2.1119205E+06   1.2809371E+02   2.5393543E+00   1.2696771E+00
     7.4560000E+03   1.1572346E+02   4.4105769E+05   1.2809371E+02   2.2107362E+00   1.1053681E+00
