         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT        WEL_V1_IN       WEL_V1_OUT           GHB_IN          GHB_OUT           RCH_IN          RCH_OUT           DRT_IN          DRT_OUT           SFR_IN          SFR_OUT          MNW2_IN         MNW2_OUT     FMP_WELLS_IN    FMP_WELLS_OUT       FMP_FNR_IN      FMP_FNR_OUT         IN_OUT  PERCENT_ERROR
1973-04-01T00:00:00    41     1           30.0         1247.0     5.3920046E+8     5.1452701E+8              0.0              0.0              0.0     112356.77080        265.84386              0.0      31026.88537              0.0              0.0       5368.13594     155310.77457     312541.21951    1.8760314E-10    1.5734739E-10              0.0     4.0932889E+6     950049.16832     2.1286549E+7      0.0058013   1.0736483E-9
1973-05-01T00:00:00    42     1           31.0         1278.0     5.4337112E+8     5.0816572E+8              0.0              0.0              0.0     130127.68280        265.84354              0.0      31026.88537              0.0              0.0       5381.17542     146523.77630     320485.68962    1.9664390E-10    2.3148354E-10              0.0     4.7646009E+6     954843.85580     3.1117472E+7      2.9398245   5.3990891E-7
1973-06-01T00:00:00    43     1           30.0         1308.0     5.4166910E+8     5.0409149E+8              0.0              0.0              0.0     150255.77180        265.84324              0.0      31026.88537              0.0              0.0       5391.93075     108158.91355     326375.44300    2.1784681E-10    1.2442840E-10              0.0     1.9375862E+6     335019.88072     3.5632477E+7      4.0571349   7.4835063E-7
1973-07-01T00:00:00    44     1           31.0         1339.0     5.7070880E+8     4.8749434E+8              0.0              0.0              0.0     158896.34980        265.84292              0.0      31026.88537              0.0              0.0       5383.04703     123108.45976     323173.50789    1.9001420E-10    2.0603825E-10              0.0     3.6919114E+6     624166.58395     7.9813659E+7      0.0347158   6.0746350E-9
1973-08-01T00:00:00    45     1           31.0         1370.0     5.6023403E+8     4.8924783E+8              0.0              0.0              0.0     159348.41280        265.84260              0.0      31026.88537              0.0              0.0       5379.79815     122582.43634     322773.86336    1.9877515E-10    1.3409949E-10              0.0     3.4596970E+6     598391.38214     6.7791272E+7      1.3993526   2.4944505E-7
1973-09-01T00:00:00    46     1           30.0         1400.0     5.4777590E+8     4.9221534E+8              0.0              0.0              0.0     153057.37580        265.84229              0.0      31026.88537              0.0              0.0       5383.20747     190133.60056     286564.56134    1.4023529E-10    1.5247738E-10              0.0     2.2557754E+6     1.3428244E+6     5.4424025E+7      0.3312722   6.0303665E-8
1973-10-01T00:00:00    47     1           31.0         1431.0     5.2812783E+8     5.0097862E+8              0.0              0.0     411409.80231     132160.99780        265.84198              0.0      31026.88537              0.0              0.0       5398.74590     270970.08154     222110.30871    2.1326615E-10    2.2547989E-10              0.0      57807.83371     4.7667422E+6     3.2212151E+7      0.0012885  2.4146433E-10
1973-11-01T00:00:00    48     1           30.0         1461.0     4.8371246E+8     5.3318468E+8              0.0              0.0     1.9395109E+7     112356.77080        265.84167              0.0      31026.88537              0.0              0.0       5432.67700     860889.11801     116472.71285    1.6558721E-10    2.2912986E-10              0.0              0.0     4.4214670E+7     1.4795480E+7      0.0050240  9.1642176E-10
1973-12-01T00:00:00    49     1           31.0         1492.0     4.9245476E+8     5.2145619E+8              0.0              0.0     1.9826447E+7     103091.01080        265.84135              0.0      31026.88537              0.0              0.0       5463.28662     470159.95309     166328.64405    1.3615232E-10    1.5260215E-10              0.0              0.0     1.6302327E+7     7.3539090E+6      0.0017051  3.2226400E-10
1974-01-01T00:00:00    50     1           31.0         1523.0     4.8729986E+8     5.2211696E+8              0.0              0.0     2.0386899E+7     125439.01580        265.84103              0.0      32171.78865              0.0              0.0       5496.13520     543432.47216     150579.94515    1.4323691E-10    1.8685763E-10              0.0              0.0     1.9669839E+7     5.5339949E+6      0.0051296  9.7163482E-10
